Data,Último,Abertura,Máxima,Mínima,Vol.,Var%,Média movel curta,Média movel longa,Sinal,EMA10,EMA30,EMA200,ROC10,ROC30,MOM10,MOM30,RSI10,RSI30,RSI200,%K10,%D10,%K30,%D30,%K200,%D200,simple_rtn,log_rtn
2025-03-12,83664.3,82921.1,84266.5,80646.6,"88,61K","0,90%",83752.19,83426.62333333334,1.0,83649.32377494258,83859.77752963828,,-0.48648024997234557,5.096002261093494,-176.1999999999971,251.1999999999971,48.96656058135245,49.34481252773375,,49.69654747390852,37.592739286612066,64.29445694991563,59.01566310260743,,,0.03161644484230619,0.031126936001432185
2025-03-11,82921.1,78579.7,83572.6,76677.1,"123,59K","5,53%",83636.97,83537.07666666668,1.0,83516.85482620547,83794.00027503721,,-1.5283565357726867,0.380234120595114,-1152.199999999997,3313.600000000006,46.72440271951706,48.62335066045992,,58.12751934015401,41.05606021296804,59.06654473832308,56.539579816169606,,,-0.008883119801396777,-0.00892280993305522
2025-03-10,78575.9,80702.2,83902.8,77480.5,"120,23K","-2,62%",83073.75,83402.70666666668,0.0,82618.14067571287,83430.36625766486,,-9.51750901072075,2.9659623259623182,-5632.200000000012,-4031.100000000006,36.01221868209377,44.672927503183516,,18.410820768895025,42.07829586098585,28.500984805852543,50.62066216469708,,,-0.052401620335475685,-0.053824516635097436
2025-03-09,80691.6,86221.5,86498.6,80048.9,"69,90K","-6,41%",82458.81,83548.67666666668,0.0,82267.7461201097,83240.49154240465,,-2.4510663196287195,1.9315963998105237,-6149.399999999994,4379.100000000006,43.073023274122676,46.84805860988397,,40.87461182100493,39.13765064335132,43.38351153629719,43.65034702682427,,,0.026925558600028987,0.02656944399606223
2025-03-08,86221.9,86783.8,86886.8,85264.6,"41,90K","-0,36%",82809.09,83783.99,0.0,82986.87534331498,83446.19834213302,,2.621784808454254,9.989118690466915,3502.7999999999884,7059.399999999994,56.88937920603922,51.955562679297714,,93.48756574629999,50.924332778733316,79.12393994910094,50.3361454304169,,,0.06853625408344843,0.06628972508770062
2025-03-07,86531.2,89879.5,91059.8,84864.3,"138,11K","-3,78%",83060.3,84055.32,0.0,83631.43892354246,83658.10329544736,,4.786723889055738,3.5655596926947273,2512.0999999999913,8139.899999999994,57.52992057801924,52.22119405244725,,68.5135614314419,67.62524633291561,68.5135614314419,63.673670972280014,,,0.003587255674022627,0.003580836818524275
2025-03-06,89930.9,90611.7,92802.0,87849.6,"89,27K","-0,75%",83795.55,84267.94666666667,0.0,84777.00039180761,84087.1835573325,,6.627358127038581,7.2307602421461645,7352.5,6378.799999999988,64.05288634749894,55.0472236592644,,82.19461826119847,81.39858181298013,82.19461826119847,76.6107065472471,,,0.03928871898228614,0.03853655511503999
2025-03-05,90611.7,87269.5,90937.8,86429.4,"95,54K","3,83%",84422.59,84492.78,0.0,85838.01014463784,84531.75414986878,,7.900487156617686,8.961464368429791,6270.399999999994,6745.0,65.24075600971585,55.59136416582803,,86.41665994827873,79.0416132136397,86.41665994827873,79.0416132136397,,,0.007570256719325652,0.007541746123870678
2025-03-04,87266.3,86083.8,88887.8,81617.0,"132,50K","1,23%",84751.51,84629.67666666668,1.0,86097.73030834482,84717.40942316639,,7.603063864207495,5.745289306270831,3289.199999999997,4106.900000000009,55.26898589242678,52.36895833366763,,65.66986461931548,78.09371427626422,65.66986461931548,78.09371427626422,,,-0.0369201769749381,-0.037618980665858545
2025-03-03,86209.7,94266.1,94266.1,85140.8,"143,15K","-8,55%",85262.46,84752.5,1.0,86118.09042877583,84818.38389451208,,3.0423968168023805,1.2276285105713434,5109.5,3684.699999999997,52.45537944645918,51.39557381803987,,54.196372732958054,68.76096576685076,54.196372732958054,68.76096576685076,,,-0.012107766686567545,-0.012181662777136264
2025-03-02,94265.1,86065.7,94986.5,85069.3,"126,76K","9,52%",86322.54000000001,85055.86333333333,1.0,87599.48364038515,85455.5813963189,,13.680474571610842,14.193180276394088,10600.800000000003,9100.900000000009,66.7807455653964,57.60965858732473,,96.05994734944895,71.97539490057416,96.05994734944895,71.97539490057416,,,0.09343960134416429,0.08932832535605315
2025-03-01,86071.6,84353.4,86546.3,83837.3,"79,51K","2,00%",86637.59,85173.29000000001,1.0,87321.66839489131,85497.01130476038,,9.539438937384125,4.491839420382753,3150.5,3522.800000000003,49.81699991073693,50.77860457387582,,49.075174225979694,66.44383143612889,51.30970976656801,67.188676616325,,,-0.08691976139631741,-0.09093151768834937
2025-02-28,84381.2,84713.3,85028.7,78329.8,"186,90K","-0,39%",87218.12,85240.27666666667,1.0,86787.00908843291,85422.17310201797,,4.572470988306083,2.099927763936902,5805.300000000003,2009.5999999999913,47.07577014416548,49.52528257451774,,36.330125414998136,60.488415663475585,42.077293630594085,63.14898358220369,,,-0.01963946295874608,-0.01983488003421468
2025-02-27,84714.6,84204.6,87013.9,82723.5,"116,14K","0,60%",87620.42000000001,85309.23999999999,1.0,86410.19089265498,85374.83662831475,,-1.7481637495810096,0.36038213300732097,4023.0,2068.9000000000087,47.706364826329924,49.7781969816406,,38.33172236997727,41.2456740036517,43.89821621680668,45.76173987132292,,,0.0039511170734714,0.003943331910396576
2025-02-26,84212.7,88675.0,89375.3,82332.9,"145,33K","-5,04%",87419.5,85302.65,1.0,86010.632741706,85297.27484087978,,-2.679380385340779,-3.4570242192318537,-2009.199999999997,-197.6999999999971,46.77416105729571,49.39277369969663,,35.31852047524417,36.660122753406526,41.15700132172542,42.37750372304206,,,-0.005924598593394892,-0.005942218656644912
2025-02-25,88686.0,91510.4,92523.1,86097.5,"195,29K","-3,08%",87634.98000000001,85351.24333333333,1.0,86497.07744862766,85522.9386578823,,-1.384285045518275,2.0411450662739323,2154.800000000003,1457.800000000003,55.403934493150345,52.76485561826366,,62.17438027940708,45.27487437487617,65.58871399390476,50.21464384414562,,,0.053119066364099465,0.051756300229695414
2025-02-24,91508.5,96261.0,96497.9,91378.5,"96,46K","-4,93%",87792.74,85504.45999999999,1.0,87408.2670955983,85920.7064636802,,0.9897176633922583,4.696009335957164,1577.6000000000058,4596.5,59.95571054631307,54.7336060340935,,72.5375796038111,56.676826786154116,74.82745398773008,60.52438976778675,,,0.03182576731389397,0.03132982268376586
2025-02-23,96258.8,96556.2,96655.2,95259.5,"38,82K","-0,31%",88357.45,85799.61999999998,1.0,89017.48655602512,86606.39070553493,,10.304665145651871,10.022631157846615,5647.100000000006,8854.800000000003,66.37381173499185,57.79618615065391,,97.83688214172682,77.51628067498167,98.0158273309274,79.47733177085406,,,0.0519110246589114,0.05060853341822844
2025-02-22,96556.1,96158.3,96930.8,95801.1,"45,62K","0,42%",89286.43000000001,86101.82333333332,1.0,90388.16560942533,87265.12276932326,,12.001433713375652,12.173578662924314,9289.800000000003,9066.100000000006,66.74445946201848,57.98024732124984,,97.98559217246387,89.45335130600058,98.14996766023,90.3310829929625,,,0.0030885487872278627,0.003083789018422798
2025-02-21,96155.6,98310.3,99473.4,94903.6,"104,28K","-2,19%",90281.02,86437.76333333334,1.0,91436.80385478039,87852.7340613123,,2.005514235915519,14.688724423160652,9945.900000000009,10078.200000000012,65.66113834104974,57.62998785861077,,84.30825403431777,93.37690944950282,85.44588376183859,93.870559584332,,,-0.004147847727901222,-0.004156473909944517
2025-02-20,98310.3,96645.2,98721.6,96441.9,"61,84K","1,72%",90685.54000000001,86920.09,1.0,92686.54389329144,88542.8320322592,,14.219208194108157,16.93403256444079,4045.199999999997,14469.800000000003,68.69819665414482,59.008194716681224,,94.49904462816176,92.26429694498114,94.89785623105507,92.83123588437456,,,0.022408471269484087,0.022161090277272984
2025-02-19,96644.8,95663.7,96829.6,95049.1,"58,27K","1,05%",91742.86,87339.14,1.0,93406.23316683083,89076.6963632713,,14.533569088849182,14.769006782007901,10573.199999999997,12571.5,63.84830615959869,57.5123113868936,,86.62195652585183,88.47641839611045,87.59184604519157,89.31186201269509,,,-0.01694125640955224,-0.01708640111851696
2025-02-18,95638.0,95781.5,96645.1,93403.4,"74,09K","-0,15%",92868.54000000001,87720.13666666667,1.0,93812.01188172138,89508.44690468725,,12.894353511673303,10.13000771524971,11256.800000000003,11429.899999999994,60.95781244268558,56.61480563284003,,77.62375659986584,86.24825258462647,83.17533985778395,88.55501404467687,,,-0.010417528930682263,-0.01047217120815394
2025-02-17,95781.3,96120.2,97002.3,95222.0,"58,40K","-0,36%",93975.20999999999,88018.14666666667,1.0,94170.06638005316,89920.68634817669,,13.737357904449098,15.791032542665473,11066.699999999997,8940.300000000003,61.23534824177061,56.714265403210156,,78.45978822088043,80.90183378219938,83.80395064111285,84.85704551469611,,,0.001498358393107413,0.0014972369742221555
2025-02-16,96132.1,97573.1,97706.5,96060.2,"33,35K","-1,48%",95167.15,88465.24666666666,1.0,94526.80148810077,90328.39809114648,,8.396026430327229,14.416959953153508,11919.400000000009,13413.0,61.97066503161169,56.96411193495263,,75.01999865429624,77.03451449168084,85.3427968573848,84.10736245209387,,,0.0036625103229963596,0.0036558196634933586
2025-02-15,97573.4,97504.4,97973.2,97210.8,"29,65K","0,07%",96055.89,88917.05666666666,1.0,95080.73067874816,90803.4202137174,,6.6276903238496905,18.158501496759445,8887.399999999994,13554.299999999988,65.00135890065312,57.99462026512647,,76.5284314815501,76.66940611890892,91.66531410799121,86.93735386882962,,,0.014992910796705727,0.014881628032616237
2025-02-14,97504.6,96611.6,98817.3,96316.5,"65,37K","0,93%",96655.5,89414.59666666666,1.0,95521.43561628305,91242.32579892571,,1.2942193337128687,15.607181772156704,5996.100000000006,14926.200000000012,64.72776557592233,57.926126264639045,,67.5650741350908,73.03783475697905,91.36351074516483,89.45720723684694,,,-0.0007051102042153756,-0.0007053589113329097
